"","longitude","latitude","k3","k4","k5","k6"
"5070",74.462463,34.28751,1,1,1,1
"5088",84.477797,24.036117,1,1,1,1
"5113",86.012157,22.856126,1,1,1,1
"5121",81.245587,19.714948,1,1,1,1
"5184",81.293173,18.49111,1,1,1,1
"5197",82.062313,20.633077,3,4,4,6
"5221",80.886276,18.527957,1,1,1,1
"5223",81.35,18.9,3,3,3,3
"5230",74.555116,34.16047,1,1,1,1
"5248",81.895253,18.363526,1,1,1,1
"5267",90.588679,26.072512,1,1,1,1
"5285",94.631367,26.980484,1,1,1,1
"5298",74.793683,34.069935,3,3,3,3
"5370",83.6167,21.3333,3,3,3,3
"5394",81.662323,18.390961,3,4,4,4
"5439",93.990834,24.65233,1,1,1,1
"5471",93.967437,24.780654,1,1,1,1
"5472",93.916458,24.817544,1,1,1,1
"5600",84.982394,25.039984,3,3,3,3
"5604",94.050809,24.8699,1,1,1,1
"5645",80.234692,19.662351,3,3,3,3
"5660",81.428585,17.838008,1,1,1,1
"5676",86.488679,22.571359,1,1,1,1
"5764",81.540833,22.356111,3,4,4,4
"5800",90.440804,25.318662,3,4,5,5
"5833",82.736167,18.855598,1,1,1,1
"5893",85.520024,22.462537,1,1,1,1
"5902",93.804188,24.432459,1,1,1,1
"5944",95.557388,27.568432,1,1,1,1
"5982",93.948197,24.806299,1,1,1,1
"5984",91.735653,26.147221,1,1,1,1
"6005",93.806198,24.43068,1,1,1,1
"6061",74.555116,34.16047,3,4,4,4
"6088",90.556866,26.479468,1,1,1,1
"6106",93.948197,24.806299,1,1,1,1
"6117",93.908987,24.825067,1,1,1,1
"6133",94.077457,24.584648,1,1,1,1
"6139",95.616598,27.400198,1,1,1,1
"6150",93.973651,26.507806,1,1,1,1
"6186",85.189404,23.023638,1,1,1,1
"6212",81.659273,18.391134,3,3,3,3
"6214",82.654485,20.094218,3,3,3,3
"6220",86.207106,24.871535,3,3,3,3
"6234",82.301773,19.689292,3,4,4,4
"6287",75.136718,17.405285,1,1,1,1
"6288",93.948197,24.806299,1,1,1,1
"6291",83.48858,21.411403,3,3,3,3
"6308",94.078674,24.73202,1,1,1,1
"6309",94.630088,26.980229,1,1,1,1
"6325",93.948197,24.806299,1,1,1,1
"6326",93.948197,24.806299,1,1,1,1
"6329",82.06208,18.225234,3,4,5,5
"6391",85.505955,25.902696,2,2,2,2
"6401",87.381073,22.408038,3,3,3,3
"6402",94.261372,24.305319,1,1,1,1
"6404",86.122583,23.745549,1,1,1,1
"6421",81.303545,18.25937,3,3,3,3
"6448",86.248873,22.799392,1,1,1,1
"6463",87.170958,22.709685,3,3,3,3
"6503",81.662323,18.390961,1,1,1,1
"6504",80.92423,18.559757,3,3,3,3
"6508",88.221773,22.544534,1,1,1,1
"6542",74.462295,34.287003,1,1,1,1
"6543",94.254486,24.303754,1,1,1,1
"6563",93.013695,25.446142,3,4,4,4
"6580",80.149295,17.247049,3,4,5,5
"6597",93.01364,25.163535,1,1,1,1
"6598",93.916458,24.817544,3,4,5,5
"6621",81.508894,18.155242,1,1,1,1
"6624",93.828127,24.772817,1,1,1,1
"6647",93.948303,24.806291,1,1,1,1
"6782",84.813611,24.436667,1,1,1,1
"6816",93.916458,24.817544,1,1,1,1
"6828",81.35,18.9,1,1,1,1
"6834",85.838262,23.801324,2,2,2,2
"6855",81.895253,18.363526,3,4,5,5
"6870",90.969535,26.499849,1,1,1,1
"6892",82.431531,18.752868,3,4,5,5
"6893",84.394202,24.442975,1,1,1,1
"6914",74.797838,34.08352,3,3,3,3
"6940",90.525782,25.567169,3,4,5,5
"6947",82.488896,18.553137,3,4,5,5
"6964",81.895253,18.363526,3,4,5,5
"6965",81.895253,18.363526,3,4,5,5
"6990",83.257291,18.933338,3,3,3,3
"7049",92.029768,23.842201,3,4,5,5
"7093",81.895253,18.363526,3,4,5,5
"7127",81.895253,18.363526,3,4,4,4
"7180",92.095943,26.746018,1,1,1,1
"7187",81.895253,18.363526,1,1,1,1
"7220",84.421409,25.156571,1,1,1,1
"7275",84.044454,21.637221,3,3,3,3
"7278",90.224466,25.567937,1,1,1,1
"7286",84.118266,20.515545,2,2,2,2
"7309",81.19628,18.671206,3,3,3,3
"7361",80.815393,18.800412,3,4,5,5
"7381",93.948197,24.806299,1,1,1,1
"7406",84.354205,23.755579,1,1,1,1
"7420",81.267797,18.939291,3,4,4,4
"7435",90.619114,25.508549,3,3,3,3
"7436",90.619114,25.508549,1,1,1,1
"7442",86.306772,24.179793,1,1,1,1
"7469",90.703405,25.456872,3,3,3,3
"7491",80.226671,19.598768,3,3,3,3
"7500",93.948197,24.806299,1,1,1,1
"7555",81.407688,18.724824,2,2,2,2
"7562",74.846053,34.09074,3,4,4,4
"7591",83.72547,19.839749,1,1,1,1
"7637",81.532538,19.423413,3,3,3,3
"7657",81.953482,18.352486,3,3,3,3
"7688",80.540807,20.492954,3,4,4,4
"7705",93.893271,26.575482,3,4,5,5
"7766",82.919769,19.044766,3,3,3,3
"7768",93.849116,24.765277,1,1,1,1
"7778",93.01364,25.163535,3,3,3,3
"7793",85.247011,22.210076,3,4,4,4
"7822",80.590422,19.414501,3,3,3,3
"7858",74.765892,34.078661,3,3,3,3
"7888",87.301613,24.405289,2,2,2,2
"7926",90.222955,25.571117,1,1,1,1
"7998",80.006844,20.181843,3,3,3,3
"8047",81.493056,20.271944,3,4,4,6
"8058",80.8167,18.8,3,4,4,4
"8097",80.8167,18.8,3,4,5,5
"8222",85.376916,22.50757,3,4,4,4
"8231",91.752547,23.399772,3,4,5,5
"8265",84.590579,24.528349,1,1,1,1
"8340",80.309482,20.271644,1,1,1,1
"8396",83.677393,24.108456,3,3,3,3
"8411",86.059532,22.952885,3,3,3,3
"8412",83.308104,19.508955,1,1,1,1
"8431",94.529357,24.809954,3,3,3,3
"8493",84.859543,24.72438,3,4,5,5
"8582",95.347833,27.491929,1,1,1,1
"8661",82.060976,20.633748,1,1,1,1
"8662",82.060804,20.633427,1,1,1,1
"8671",84.504429,23.744186,3,4,4,6
"8690",84.296522,23.730198,3,3,3,3
"8691",84.296522,23.730198,1,1,1,1
"8722",80.905927,17.927194,3,3,3,3
"8724",94.056752,26.465236,1,1,1,1
"8760",95.736383,27.295647,3,4,5,5
"8778",74.433482,34.358352,3,4,4,4
"8812",84.858978,24.151766,1,1,1,1
"8819",84.256204,23.926562,3,3,3,3
"8840",80.282758,20.244683,2,2,2,2
"8853",94.294342,24.253988,1,1,1,1
"8968",81.662636,18.394275,3,3,3,3
"8969",81.349797,18.900196,3,3,3,3
"9008",85.790076,23.943821,1,1,1,1
"9016",95.022506,27.026738,1,1,1,1
"9024",81.867528,18.860321,3,3,3,3
"9072",95.765995,27.62183,1,1,1,1
"9105",92.030881,26.433529,1,1,1,1
"9119",93.777377,26.357869,3,3,3,3
"9141",93.93855,24.797665,1,1,1,1
"9142",93.936516,24.795247,1,1,1,1
"9143",93.949712,24.803497,1,1,1,1
"9144",93.94666,24.840217,1,1,1,1
"9151",84.577897,23.420959,2,2,2,2
"9168",86.068756,24.773331,3,4,5,5
"9174",90.201657,26.046167,1,1,1,1
"9180",90.201657,26.046167,1,1,1,1
"9181",90.558615,26.052473,1,1,1,1
"9182",90.619576,26.169455,1,1,1,1
"9183",90.588679,26.072512,1,1,1,1
"9184",90.101326,25.955265,1,1,1,1
"9185",90.148237,26.035371,1,1,1,1
"9186",89.972452,26.097699,1,1,1,1
"9213",94.049135,24.609176,1,1,1,1
"9225",95.522338,27.448508,1,1,1,1
"9275",82.31917,18.472689,3,4,4,4
"9337",90.772892,25.907054,1,1,1,1
"9365",90.61682,25.49546,3,3,3,3
"9376",90.136788,26.516613,1,1,1,1
"9377",75.343314,19.876165,3,3,3,3
"9419",81.35,18.9,2,2,2,2
"9427",84.354205,23.755579,3,3,3,3
"9496",82.496925,20.736369,3,3,3,3
"9517",90.178907,25.323197,3,3,3,3
"9547",85.268411,25.540785,3,4,5,5
"9570",80.438215,21.079676,3,3,3,3
"9573",90.231911,25.547282,1,1,1,1
"9622",82.554606,20.542442,1,1,1,1
"9644",80.683333,18.750058,3,3,3,3
"9650",82.554606,20.542442,1,1,1,1
"9658",90.61682,25.49546,3,3,3,3
"9661",93.885895,24.782784,1,1,1,1
"9697",93.171649,26.57701,3,3,3,3
"9705",91.687549,26.635315,3,4,5,5
"9798",79.794251,15.697725,3,3,3,3
"9809",93.924675,24.86492,1,1,1,1
"9812",92.484664,23.700589,3,4,5,5
"9822",78.487812,17.376812,1,1,1,1
"9823",78.487812,17.376812,1,1,1,1
"9856",84.620533,26.799257,1,1,1,1
"9925",84.370896,24.749905,1,1,1,1
"9949",80.8167,18.8,1,1,1,1
"9958",93.7,24.35,1,1,1,1
"9965",94.216359,26.750419,1,1,1,1
"9991",81.35,18.9,1,1,1,1
"10045",74.283081,34.397548,3,3,3,3
