"","longitude","latitude","k3","k4","k5","k6"
"3092","70.907222","34.988889","1","1","1","1"
"3110","68.477018","33.673249","3","3","3","4"
"3111","61.981391","33.671608","3","3","4","5"
"3120","67.58","32.14","1","1","1","2"
"3121","67.087097","32.147711","1","1","1","2"
"3122","67.416481","32.519241","1","1","1","2"
"3125","62.262663","32.495328","2","2","2","3"
"3126","71.528625","35.225369","1","1","1","1"
"3145","64.8564","33.6908","3","3","3","4"
"3159","71.127398","34.910931","1","1","1","2"
"3178","70.091111","33.465833","2","2","2","3"
"3201","65.884125","32.629978","2","2","2","3"
"3209","65.25663","31.467506","3","4","5","6"
"3229","","","1","1","1","1"
"3245","62.168857","34.046771","1","1","1","1"
"3246","63.297505","33.820882","1","1","1","2"
"3247","65.903629","32.666404","3","3","3","4"
"3257","66.18107","36.94907","3","3","4","5"
"3268","67.898333","36.449444","1","1","1","1"
"3275","70.75","34.7","3","3","3","4"
"3276","65.000854","32.011862","3","3","3","4"
"3281","69.516667","36.716667","3","4","5","6"
"3307","67.630459","35.31736","3","3","4","5"
"3322","67.693977","36.68692","3","3","4","5"
"3328","62.488056","32.625","1","1","1","2"
"3331","66.141526","30.869041","2","2","2","3"
"3335","70.976389","34.063889","3","3","3","4"
"3357","64.621428","31.76147","1","1","1","1"
"3367","66.906944","32.106111","3","4","5","6"
"3383","65.38071","36.102628","3","4","5","6"
"3385","71.112222","34.894722","3","3","4","5"
"3386","70.386828","34.959631","1","1","1","1"
"3394","68.686209","36.252582","1","1","1","2"
"3398","69.9193","33.808779","3","3","3","4"
"3414","70.35","34.816667","1","1","1","1"
"3419","68.45","33.316667","3","3","4","5"
"3424","70.9075","37.002778","3","4","5","6"
"3432","68.420464","33.551708","1","1","1","2"
"3447","69.335432","32.708666","1","1","1","1"
"3464","69.516667","36.716667","3","4","5","6"
"3467","66.52239","31.461224","2","2","2","3"
"3468","69.158119","37.122858","1","1","1","2"
"3491","65.285708","34.51495","3","4","5","6"
