"","longitude","latitude","k3","k4","k5","k6"
"6438","44.536067","33.571807","2","2","5","6"
"6439","44.510157","34.239965","1","4","4","5"
"6440","44.626354","33.748535","2","2","5","6"
"6441","44.314193","33.361103","1","1","1","1"
"6442","43.13","36.34","1","4","4","5"
"6443","43.220881","35.992499","3","3","3","3"
"6444","45.083333","33.7","2","2","5","6"
"7115","44.234167","33.509167","2","2","2","2"
"7116","44.46091","33.389638","1","4","4","5"
"7117","44.46091","33.389638","2","2","2","2"
"7118","44.408735","33.33669","2","2","2","2"
"7121","43.13","36.34","3","3","3","3"
"7122","43.13","36.34","3","3","3","3"
"7123","43.13","36.34","2","2","2","2"
"7124","44.63922","34.885611","1","4","4","5"
"7125","44.339691","33.238757","1","4","4","5"
"7134","43.13","36.34","1","4","4","5"
"7151","44.339691","33.238757","2","2","2","2"
"7155","44.314193","33.361103","2","2","2","2"
"7164","44.583332","33.099934","2","2","2","2"
"7165","44.583332","33.099934","2","2","2","2"
"7538","44.391003","35.468763","2","2","2","2"
