"","eventid","country_txt","latitude","longitude","attacktype1","targtype1","region","weaptype1","imonth","suicide","gname","guncertain1","doubtterr","groups"
"2371",201204190037,"Iraq",36.34,43.13,"3","1","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2372",201204190038,"Iraq",33.35,43.783333,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2373",201204190039,"Iraq",33.35,43.783333,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2374",201204190040,"Iraq",36.34,43.13,"3","4","10","6","4","1","Al-Qaida in Iraq","0","0",5
"2375",201204190041,"Iraq",33.316667,44.4,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2376",201204190042,"Iraq",33.33669,44.408735,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2377",201204190043,"Iraq",33.281965,44.25529,"3","20","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2380",201204190046,"Iraq",32.77578,44.300991,"3","4","10","6","4","0","Al-Qaida in Iraq","0","1",3
"2381",201204190047,"Iraq",34.33322,45.383465,"3","4","10","6","4","0","Al-Qaida in Iraq","0","1",3
"2382",201204190048,"Iraq",33.75207,44.625934,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2703",201205020040,"Iraq",33.542781,42.933336,"3","18","10","6","5","0","Al-Qaida in Iraq","1","0",3
"3562",201206040004,"Iraq",33.354802,44.391023,"3","2","10","6","6","1","Al-Qaida in Iraq","0","0",3
"3751",201206100008,"Iraq",33.361104,44.314193,"3","14","10","6","6","0","Muslim Fundamentalists","1","0",1
"3831",201206130006,"Iraq",32.482956,44.434507,"3","1","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3832",201206130007,"Iraq",33.32717,44.423113,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3833",201206130008,"Iraq",33.361103,44.314193,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3834",201206130009,"Iraq",33.32717,44.423113,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3835",201206130010,"Iraq",33.381063,44.345039,"3","15","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3836",201206130011,"Iraq",33.247211,44.35676,"2","3","10","5","6","0","Al-Qaida in Iraq","0","0",2
"3837",201206130012,"Iraq",32.901412,45.077723,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3838",201206130013,"Iraq",33.350128,43.783267,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3839",201206130014,"Iraq",33.350128,43.783267,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3840",201206130015,"Iraq",33.291944,44.065556,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3841",201206130016,"Iraq",33.291944,44.065556,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3842",201206130017,"Iraq",33.291944,44.065556,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3843",201206130018,"Iraq",33.291944,44.065556,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3844",201206130019,"Iraq",33.1,44.583333,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3845",201206130020,"Iraq",33.376952,44.70296,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3846",201206130021,"Iraq",34.016389,44.145278,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3847",201206130022,"Iraq",34.016389,44.145278,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3848",201206130023,"Iraq",32.6143,44.02483,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3849",201206130024,"Iraq",32.6143,44.02483,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3850",201206130025,"Iraq",33.749892,44.633421,"3","3","10","6","6","1","Al-Qaida in Iraq","0","0",3
"3851",201206130026,"Iraq",33.749892,44.633421,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3852",201206130027,"Iraq",35.468739,44.391315,"3","4","10","6","6","0","Al-Qaida in Iraq","0","1",3
"3853",201206130028,"Iraq",35.468739,44.391315,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3854",201206130029,"Iraq",35.468739,44.391315,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3855",201206130030,"Iraq",36.229574,42.236244,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3856",201206130031,"Iraq",36.229574,42.236244,"3","4","10","6","6","0","Al-Qaida in Iraq","0","1",3
"3857",201206130032,"Iraq",36.229574,42.236244,"3","4","10","6","6","0","Al-Qaida in Iraq","0","1",3
"3862",201206130038,"Iraq",33.639469,42.838009,"3","3","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3919",201206160004,"Iraq",33.381063,44.345039,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3920",201206160005,"Iraq",33.32717,44.423113,"3","14","10","6","6","0","Al-Qaida in Iraq","0","0",3
"3957",201206180001,"Iraq",33.749892,44.633421,"3","14","10","6","6","1","Al-Qaida in Iraq","0","0",3
"4186",201206280017,"Iraq",33.431832,43.311501,"3","2","10","6","6","1","Al-Qaida in Iraq","0","0",3
"4196",201206280027,"Iraq",33.749892,44.633421,"3","15","10","6","6","0","Al-Qaida in Iraq","0","0",3
"4229",201206290019,"Iraq",33.571807,44.536067,"2","17","10","5","6","0","Al-Qaida in Iraq","0","0",2
"4273",201207010015,"Iraq",33.75,44.633333,"3","20","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4305",201207030001,"Iraq",31.989167,44.924722,"3","14","10","6","7","0","Al-Qaida in Iraq","1","0",3
"4769",201207230005,"Iraq",34.129853,44.362278,"2","4","10","6","7","0","Al-Qaida in Iraq","0","1",2
"4770",201207230006,"Iraq",33.509167,44.234167,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4771",201207230007,"Iraq",33.509167,44.234167,"3","3","10","6","7","1","Al-Qaida in Iraq","0","0",3
"4772",201207230008,"Iraq",33.509167,44.234167,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4773",201207230009,"Iraq",33.509167,44.234167,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4774",201207230010,"Iraq",33.325,44.422,"3","1","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4775",201207230011,"Iraq",33.389934,44.460652,"3","2","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4776",201207230012,"Iraq",34.88562,44.639339,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4777",201207230013,"Iraq",34.88562,44.639339,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4778",201207230014,"Iraq",34.88562,44.639339,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4779",201207230015,"Iraq",33.85,44.233333,"3","15","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4781",201207230017,"Iraq",34.016389,44.145278,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4782",201207230018,"Iraq",34.016389,44.145278,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4784",201207230021,"Iraq",33.571807,44.536067,"3","1","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4785",201207230022,"Iraq",33.782198,44.5078,"3","19","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4786",201207230023,"Iraq",33.971279,44.926682,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4787",201207230024,"Iraq",33.971279,44.926682,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4788",201207230025,"Iraq",33.971279,44.926682,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4789",201207230026,"Iraq",33.971279,44.926682,"3","14","10","6","7","0","Al-Qaida in Iraq","0","0",3
"4790",201207230027,"Iraq",36.34,43.13,"3","4","10","6","7","0","Al-Qaida in Iraq","0","0",3
